[1518-11-01 00:00] Guard #1 begins shift
[1518-11-01 00:05] falls asleep
[1518-11-01 00:06] wakes up
[1518-11-01 00:07] falls asleep
[1518-11-01 00:08] wakes up
[1518-11-01 23:58] Guard #2 begins shift
[1518-11-02 00:00] falls asleep
[1518-11-02 00:01] wakes up
[1518-11-03 00:05] Guard #1 begins shift
[1518-11-03 00:10] falls asleep
[1518-11-03 00:11] wakes up
[1518-11-04 00:02] Guard #2 begins shift
[1518-11-04 00:05] falls asleep
[1518-11-04 00:06] wakes up
[1518-11-05 00:03] Guard #1 begins shift
[1518-11-05 00:04] falls asleep
[1518-11-05 00:05] wakes up
